MATURITY	COUPON	BID	ASKED	CHG	ASKED YIELD
8/15/2042	2.750	110.3060	111.0060	-0.8460	2.095
11/15/2042	2.750	110.2760	110.2960	-0.8540	2.106
2/15/2043	3.125	117.1520	117.1720	-0.8640	2.101
5/15/2043	2.875	113.0320	113.0520	-0.1820	2.113
8/15/2043	3.625	126.1740	126.1940	-0.8780	2.100
11/15/2043	3.750	128.3060	129.0060	-0.8860	2.101
2/15/2044	3.625	126.2700	126.2900	-0.8860	2.109
5/15/2044	3.375	122.1440	122.1640	-0.8860	2.116
8/15/2044	3.125	117.2900	117.3100	-0.8720	2.128
11/15/2044	3.000	115.2120	115.2320	-0.8740	2.134
2/15/2045	2.500	106.1020	106.1220	-0.1840	2.151
5/15/2045	3.000	115.2760	115.2960	-0.8900	2.137
8/15/2045	2.875	113.1760	113.1960	-0.8800	2.143
11/15/2045	3.000	116.0200	116.0400	-0.2040	2.140
2/15/2046	2.500	106.1440	106.1640	-0.8720	2.155
5/15/2046	2.500	106.1540	106.1740	-0.8700	2.156
8/15/2046	2.250	101.1860	101.2060	-0.8640	2.164
11/15/2046	2.875	114.0100	114.0300	-0.1900	2.146
2/15/2047	3.000	116.2060	116.2260	-0.8760	2.142
5/15/2047	3.000	116.2460	116.2660	-0.8800	2.142
8/15/2047	2.750	111.2200	111.2400	-0.8800	2.155
11/15/2047	2.750	111.2520	111.2720	-0.8780	2.154
2/15/2048	3.000	117.0040	117.0240	-0.2060	2.148
5/15/2048	3.125	119.2360	119.2560	-0.8900	2.144
8/15/2048	3.000	117.0760	117.0960	-0.2080	2.148
11/15/2048	3.375	125.1140	125.1340	-0.9000	2.134
2/15/2049	3.000	117.1840	117.2040	-0.8900	2.144
5/15/2049	2.875	115.0200	115.0400	-0.2100	2.146
8/15/2049	2.250	101.2740	101.2940	-0.8700	2.158
11/15/2049	2.375	104.1940	104.2140	-0.8780	2.153
2/15/2050	2.000	96.1620	96.1820	-0.8700	2.162
5/15/2050	1.250	80.0900	80.1100	-0.1720	2.177
8/15/2050	1.375	82.2600	82.2800	-0.8520	2.178
11/15/2050	1.625	88.0560	88.0760	-0.1760	2.172
2/15/2051	1.875	93.2040	93.2240	-0.8580	2.166
5/15/2051	2.375	104.2640	104.2840	-0.8800	2.151
8/15/2051	2.000	96.1500	96.1700	-0.8560	2.158
